"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Commodities","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1986-01","Canada","2016A000011124","Current prices","Unadjusted","Total tourism commodities","Dollars","81","millions","6","v81612","1.1.1.1","11175","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Unadjusted","Transportation","Dollars","81","millions","6","v81613","1.1.1.2","5418","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Unadjusted","Passenger air transport","Dollars","81","millions","6","v81614","1.1.1.3","1175","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Unadjusted","Passenger rail transport","Dollars","81","millions","6","v81615","1.1.1.4","39","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Unadjusted","Interurban bus transport","Dollars","81","millions","6","v81616","1.1.1.5","209","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Unadjusted","Vehicle rental","Dollars","81","millions","6","v81617","1.1.1.6","235","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Unadjusted","Vehicle repairs and parts","Dollars","81","millions","6","v81618","1.1.1.7","1366","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Unadjusted","Vehicle fuel","Dollars","81","millions","6","v81619","1.1.1.8","2166","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Unadjusted","Other transportation","Dollars","81","millions","6","v81620","1.1.1.9","228","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Unadjusted","Accommodation","Dollars","81","millions","6","v81621","1.1.1.10","640","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Unadjusted","Food and beverage services","Dollars","81","millions","6","v81625","1.1.1.14","3755","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Unadjusted","Other tourism commodities","Dollars","81","millions","6","v81631","1.1.1.20","1362","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Unadjusted","Recreation and entertainment","Dollars","81","millions","6","v81632","1.1.1.21","924","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Unadjusted","Travel agency services","Dollars","81","millions","6","v81633","1.1.1.22","255","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Unadjusted","Pre-trip expenditures","Dollars","81","millions","6","v29788894","1.1.1.25","140","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Unadjusted","Convention fees","Dollars","81","millions","6","v29788895","1.1.1.26","43","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Total tourism commodities","Dollars","81","millions","6","v81589","1.1.2.1","12798","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Transportation","Dollars","81","millions","6","v81590","1.1.2.2","6227","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Passenger air transport","Dollars","81","millions","6","v81591","1.1.2.3","1295","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Passenger rail transport","Dollars","81","millions","6","v81592","1.1.2.4","56","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Interurban bus transport","Dollars","81","millions","6","v81593","1.1.2.5","107","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Vehicle rental","Dollars","81","millions","6","v81594","1.1.2.6","280","","","","0"
"1986-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Vehicle repairs and parts","Dollars","81","millions","6","v81595","1.1.2.7","1641","","","","0"
